@relation lockout_fixed_with_age_postsub

@attribute ﻿PER numeric
@attribute last_year_wins numeric
@attribute continuity numeric
@attribute avg_age numeric
@attribute num_wins numeric

@data
178.9,30,0.557459,25.928571,25
177.2,52,0.863252,26.461538,42
154.5,31,0.654497,24.846154,45
148.6,26,0.600218,25.666667,40
153.4,44,0.576814,27.538462,35
143.1,41,0.600437,26.5,47
173.1,41,0.936148,26.923077,40
173,55,0.802073,26.071429,47
170.2,24,0.742861,24.357143,38
176.6,54,0.779212,27.5,55
211.5,56,0.837871,27.466667,51
186,50,0.739207,30.642857,48
179.5,20,0.317561,25.785714,24
175.4,43,0.469014,27.692308,38
157.3,26,0.622663,25.538462,31
204,25,0.404456,25.941176,29
161.8,63,0.936875,27.545455,57
254.1,55,0.861875,26.692308,53
